Tweet,followers,type,coordinates,City,State,time,epoch_time(EST),Sentiment,Result
"BREAKING REPORT: Alan Gross of Maryland, who has been in a Cuban prison for years, is being released --&gt;",463,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:02,1418806962,-0.49000001,n
American Alan Gross released from prison in Cuba - finally. Is this the first step in normalizing relations between Cuba and t,19153,Polygon,"-80.1309396, 26.420813; -80.1309396, 26.491482; -80.05542, 26.491482; -80.05542, 26.420813",Delray Beach,FL,12/17/2014 14:02,1418806966,-0.210000008,n
BREAKING: American Alan Gross released from Cuban prison after 5 years in captivity. am720kdwn alangross,1371,Polygon,"-115.384091, 36.129459; -115.384091, 36.336251; -115.062159, 36.336251; -115.062159, 36.129459",Las Vegas,NV,12/17/2014 14:04,1418807071,-0.49000001,n
Alan Gross freed from Cuban prison,252,Polygon,"-81.046876, 35.001706; -81.046876, 35.416412; -80.646695, 35.416412; -80.646695, 35.001706",Charlotte,NC,12/17/2014 14:04,1418807082,0.055000007,p
(1/2) Wonderful news that Alan Gross is heading home but at what price? Sending spies back to Cuba is one thing ....,2077,Polygon,"-82.688331, 27.424889; -82.688331, 27.52306; -82.459019, 27.52306; -82.459019, 27.424889",Bradenton,FL,12/17/2014 14:04,1418807092,1.600000024,p
BREAKING U.S. Contractor Alan Gross released in prisoner swap with Cuba:,78129,Polygon,"-87.940033, 41.644102; -87.940033, 42.0230669; -87.523993, 42.0230669; -87.523993, 41.644102",Chicago,IL,12/17/2014 14:05,1418807101,-1.271999955,n
(2/2) But how does Obama plan to 'overhaul' relations w/Cuba? Unless Cuba releases ALL political prisoners there should be n,2077,Polygon,"-82.688331, 27.424889; -82.688331, 27.52306; -82.459019, 27.52306; -82.459019, 27.424889",Bradenton,FL,12/17/2014 14:05,1418807155,-1.668000102,n
“Alan Gross: What you need to know about the American just freed from 5 years in Cuba prison:,2488,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 14:06,1418807161,0.121000022,p
BREAKING: American Alan Gross released from Cuba after 5 years in prison. KHOU,107354,Polygon,"-95.823268, 29.522325; -95.823268, 30.1546646; -95.069705, 30.1546646; -95.069705, 29.522325",Houston,TX,12/17/2014 14:06,1418807170,-0.899999976,n
"RT What you need to know about Alan Gross, the American just released after 5 years in Cuba prison:",352,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 14:06,1418807182,-0.980000019,n
"“Cuba frees American contractor Alan Gross, after 5 years in prison for espionage charges:Obama will speak today",158,Polygon,"-80.147162, 25.7613083; -80.147162, 25.872623; -80.1187628, 25.872623; -80.1187628, 25.7613083",Miami Beach,FL,12/17/2014 14:06,1418807191,-0.449999988,n
Prisoner swap between Alan Gross and 'Cuban 3' quite big news for US-Cuba relations. Mood in Miami one to watch,3402,Polygon,"-77.172219, 38.827378; -77.172219, 38.934311; -77.031779, 38.934311; -77.031779, 38.827378",Arlington,VA,12/17/2014 14:07,1418807225,0.667999983,p
"More on release of Alan Gross, and Obama's plans to announce major overhaul in U.S. policy toward Cuba:  	More on release of Alan Gross, and Obama's plans to announce major overhaul in U.S. policy toward Cuba:",276,Polygon,"-80.334244, 25.643799; -80.334244, 25.691639; -80.279685, 25.691639; -80.279685, 25.643799",Pinecrest,FL,07:37.0,1418920256,1.096000046,p
"Cuba releases American Alan Gross in prisoner swap, first step in thawing of relations 13now",17936,Polygon,"-93.709504, 41.49702; -93.709504, 41.6514656; -93.503235, 41.6514656; -93.503235, 41.49702",Des Moines,IA,12/17/2014 14:08,1418807290,-0.813999966,n
BREAKING: Cuba releases prisoner Alan Gross after 5 years in prison.,17804,Polygon,"-80.2006, 26.644671; -80.2006, 26.7991205; -80.044639, 26.7991205; -80.044639, 26.644671",West Palm Beach,FL,12/17/2014 14:09,1418807370,-1.049999952,n
BREAKING: American contractor Alan Gross released after more than five years in a Cuban prison.,815,Polygon,"-108.662336, 39.0336021; -108.662336, 39.149899; -108.486897, 39.149899; -108.486897, 39.0336021",Grand Junction,CO,12/17/2014 14:09,1418807381,-0.49000001,n
"Carol Costello of CNN about American Alan Gross being released from Cuba: ""How is he doing?"" After listing horrifying medical",1109,Polygon,"-95.823268, 29.522325; -95.823268, 30.1546646; -95.069705, 30.1546646; -95.069705, 29.522325",Houston,TX,12/17/2014 14:10,1418807431,-1.299999952,n
Obama is speaking today on Cuba. I hope that means the embargo is soon to end. There are many benefits to opening up trade an,611,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:11,1418807480,1.320000052,p
"I imagine Cuba and Puerto Rico solar, wind and water powered Islands of innovation. Legacy",705,Polygon,"-73.039115, 40.837693; -73.039115, 40.921065; -72.972416, 40.921065; -72.972416, 40.837693",Coram,NY,12/17/2014 14:11,1418807519,0.49000001,p
Obama is going to overhaul the Cuba Policy. Sooooo lets go to Cuba :p,223,Polygon,"-81.442112, 28.450553; -81.442112, 28.487021; -81.396669, 28.487021; -81.396669, 28.450553",Oak Ridge,FL,12/17/2014 14:12,1418807534,-0.100000001,n
Source: Cuba releases American Alan Gross after five-year imprisonment,3514,Polygon,"-94.916194, 32.3533194; -94.916194, 32.425799; -94.8069567, 32.425799; -94.8069567, 32.3533194",Kilgore,TX,12/17/2014 14:12,1418807535,-0.980000019,n
heading to UnionCity after Cuba releases AlanGross after 5 years in prison. See you at noon,601,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 14:12,1418807540,-0.449999988,n
This Cuba news out of the White House reeks of WagtheDog with everything else going on.,4072,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 14:12,1418807550,-1.200000048,n
.says 'Obama to announce major shift in Cuba policy' Question to ask: ... What is Castro doing for the Cuban people to,2077,Polygon,"-82.688331, 27.424889; -82.688331, 27.52306; -82.459019, 27.52306; -82.459019, 27.424889",Bradenton,FL,12/17/2014 14:13,1418807618,0.365333349,p
"Hoping for more inclusive, open and collaborative US policy towards Cuba and her beautiful people. Calling my travel agent...",60,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811",Philadelphia,PA,12/17/2014 14:13,1418807624,0.219583347,p
"American Alan Gross released from Cuban prison, official says",2098,Polygon,"-86.348441, 39.631677; -86.348441, 39.927448; -85.937404, 39.927448; -85.937404, 39.631677",Indianapolis,IN,12/17/2014 14:13,1418807633,-0.49000001,n
Cuba arrested AlanGross for trying to set up an Internet systems as a contractor for,2969,Polygon,"-77.265228, 38.898565; -77.265228, 38.934957; -77.196534, 38.934957; -77.196534, 38.898565",Tysons Corner,VA,12/17/2014 14:14,1418807698,-0.475000024,n
"Mil Gracias, Cuba! Breaking release",3469,Polygon,"-78.818343, 35.7158045; -78.818343, 35.9718611; -78.497331, 35.9718611; -78.497331, 35.7158045",Raleigh,NC,12/17/2014 14:16,1418807767,-0.545000017,n
Expecting big announcements from Havana &amp; the White House on US-Cuba relations in the next couple hours,2695,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:16,1418807775,0.085107997,p
"This is huge!!! And just like that, POTUS foreign policy legacy changes course. Cuba releases Alan Gross in swap",259,Polygon,"-81.2445014, 28.489488; -81.2445014, 28.568794; -81.1256316, 28.568794; -81.1256316, 28.489488",Alafaya,FL,12/17/2014 14:16,1418807791,-0.041000493,n
RT WASHINGTON (AP) - AP sources: American Alan Gross released from Cuba after 5 years in prison.,174,Polygon,"-106.7916912, 35.0158912; -106.7916912, 35.218114; -106.473745, 35.218114; -106.473745, 35.0158912",Albuquerque,NM,12/17/2014 14:16,1418807798,-0.899999976,n
Cuba frees Alan Gross! Now It's time for us to free the last 3 of the Cuban 5! EndTheEmbargo,58,Polygon,"-93.718311, 41.986006; -93.718311, 42.079007; -93.560416, 42.079007; -93.560416, 41.986006",Ames,IA,12/17/2014 14:18,1418807933,1,p
"Hearing Americans may be able to travel freely to Cuba now with release of Alan Gross, who was held in prison there five years.",6291,Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154",Seattle,WA,12/17/2014 14:20,1418808042,-0.899999976,n
American freed from Cuban prison. President to announce major shift in Cuba policy,585,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:20,1418808044,0.365333349,p
"“Breaking News: ABC News has learned Alan Gross, US citizen imprisoned by Cuba 5 yrs has been freed. (via",3032,Polygon,"-122.059255, 47.148264; -122.059255, 47.175883; -121.993326, 47.175883; -121.993326, 47.148264",Buckley,WA,12/17/2014 14:21,1418808075,0.110000014,p
Cuba should be happy it's still relevant enough to spy on. It's not the 60's anymore.,69,Polygon,"-87.634643, 24.396308; -87.634643, 31.001056; -79.974307, 31.001056; -79.974307, 24.396308",Florida,US,12/17/2014 14:21,1418808086,0.510319412,p
Cuba releases U.S. prisoner Alan Gross via,44266,Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792",Sacramento,CA,12/17/2014 14:21,1418808087,-1.200000048,n
Obama is straight nuts. We kumbaya Iran and now loving on Cuba the human rights nightmare.,1651,Polygon,"-87.634643, 24.396308; -87.634643, 31.001056; -79.974307, 31.001056; -79.974307, 24.396308",Florida,US,12/17/2014 14:21,1418808105,-0.216000006,n
Awesome RT JUST IN: American contractor Alan Gross released after more than five years in a Cuban prison,603,Polygon,"-76.5533209, 38.941032; -76.5533209, 38.9989; -76.468263, 38.9989; -76.468263, 38.941032",Annapolis,MD,12/17/2014 14:21,1418808110,-0.49000001,n
Joy to the world &amp; the Gross family -Cuba releases American Alan Gross after 5 years in prison,1064,Polygon,"-77.002459, 38.943921; -77.002459, 38.986584; -76.951778, 38.986584; -76.951778, 38.943921",Chillum,MD,12/17/2014 14:21,1418808117,-0.899999976,n
"I imagine Cuba and Puerto Rico solar, wind and water powered Islands of innovation. Le",705,Polygon,"-73.039115, 40.837693; -73.039115, 40.921065; -72.972416, 40.921065; -72.972416, 40.837693",Coram,NY,12/17/2014 14:22,1418808126,0.49000001,p
"With Alan Gross' release from Cuban jail, the only thing standing between normalized relations is two dysfunctional political",2129,Polygon,"-80.321683, 25.7090404; -80.321683, 25.855667; -80.144974, 25.855667; -80.144974, 25.7090404",Miami,FL,12/17/2014 14:22,1418808158,-0.600000024,n
"Cuba releases American contractor Alan Gross, after 5 years in prison - ",3984,Polygon,"-80.3854773, 25.732128; -80.3854773, 25.761752; -80.351653, 25.761752; -80.351653, 25.732128",University Park,FL,22:56.0,1418920256,-0.449999988,n
lol I gotta see if US and Cuba make peace,517,Polygon,"-73.938614, 40.84706; -73.938614, 40.8668268; -73.918383, 40.8668268; -73.918383, 40.84706",Fort George,NY,12/17/2014 14:25,1418808310,1.546700001,p
"I see Iran is still full steam ahead on nukes, the prisoners will still kill and Cuba will be no different.",1651,Polygon,"-87.634643, 24.396308; -87.634643, 31.001056; -79.974307, 31.001056; -79.974307, 24.396308",Florida,US,12/17/2014 14:25,1418808328,-0.439249992,n
Obama to add Cuba to his list of this dictatorship is fine with me,5053,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:26,1418808374,-0.649999976,n
Hopefully we get to a normal relationship with Cuba after this it will make it better for everyone,906,Polygon,"-91.6110574, 41.599181; -91.6110574, 41.6955258; -91.463067, 41.6955258; -91.463067, 41.599181",Iowa City,IA,12/17/2014 14:26,1418808416,0.150000006,p
"it's not even gonna be that expensive, if you could you would be able to walk from Miami to Cuba",1355,Polygon,"-76.334287, 36.820791; -76.334287, 36.969373; -76.177085, 36.969373; -76.177085, 36.820791",Norfolk,VA,12/17/2014 14:28,1418808485,-0.200000003,n
"Finalmente! Pres Obama breaks fruitless half-century long standoff w/Cuba. Spit will be flying, veins will be popping on",15214,Polygon,"-77.675429, 38.763188; -77.675429, 38.821247; -77.579294, 38.821247; -77.579294, 38.763188",Gainesville,VA,12/17/2014 14:29,1418808545,-0.300000012,n
"“Officials: U.S. will move toward diplomatic ties with Cuba, make it easier for Americans do business with Cubans",848,Polygon,"-97.26899, 31.45507; -97.26899, 31.639828; -97.069786, 31.639828; -97.069786, 31.45507",Waco,TX,12/17/2014 14:35,1418808937,0.310402006,p
"Not a swap w Alan Gross: his was ""humanitarian"" release by Cuba + accompanied by a separate spy swap, US officials say",3404,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:36,1418808998,0.931428492,p
Is it normal for all guests to call him Jose? Or just awesome for today? Cuba,10353,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 14:38,1418809100,0.732000053,p
Also happening w/ alangross release: USAID administrator announced his resignation this morning Cuba,2129,Polygon,"-80.321683, 25.7090404; -80.321683, 25.855667; -80.144974, 25.855667; -80.144974, 25.7090404",Miami,FL,12/17/2014 14:38,1418809136,-1.200000048,n
.also speaking today. No word if it will be joint appearance with Cuba,2077,Polygon,"-82.688331, 27.424889; -82.688331, 27.52306; -82.459019, 27.52306; -82.459019, 27.424889",Bradenton,FL,12/17/2014 14:39,1418809196,0.223326996,p
"After losing hope and health in Cuba, Alan Gross finally released: He spent more than 25 years traveling the world,…",1828,Polygon,"-88.070827, 42.920822; -88.070827, 43.1926225; -87.863758, 43.1926225; -87.863758, 42.920822",Milwaukee,WI,12/17/2014 14:40,1418809216,1,p
"no decide eso, lo decide el congreso. Imposible desbloqueo económico a Cuba",185,Polygon,"-80.248975, 25.9862279; -80.248975, 26.093132; -80.107808, 26.093132; -80.107808, 25.9862279",Hollywood,FL,12/17/2014 14:41,1418809270,-0.49000001,n
All the people crying about Cuba's human right violations should tell me d difference with the GOP's BFF's Saudi Arabia,1089,Polygon,"-95.686106, 29.5433718; -95.686106, 29.663556; -95.5772726, 29.663556; -95.5772726, 29.5433718",Sugar Land,TX,12/17/2014 14:41,1418809287,-0.702000022,n
"Before the US and Cuba repair their diplomatic ties, the US will want to get that trillion dollar bill back trilly givewhatb",138,Polygon,"-93.556704, 44.978417; -93.556704, 45.0729; -93.400552, 45.0729; -93.400552, 44.978417",Plymouth,MN,12/17/2014 14:41,1418809299,0.261608005,p
I remember when Cuba got Repsol to drill a well &amp; US politicians freaked out over “environmenta,4968,Polygon,"-90.137908, 29.889574; -90.137908, 30.075628; -89.884108, 30.075628; -89.884108, 29.889574",New Orleans,LA,12/17/2014 14:41,1418809312,-0.25,n
American Alan Gross released after 5 years in captivity in Cuban prison,193,Polygon,"-87.634643, 24.396308; -87.634643, 31.001056; -79.974307, 31.001056; -79.974307, 24.396308",Florida,US,12/17/2014 14:42,1418809355,-0.49000001,n
"American Alan Gross Released From Prison In Cuba: American Alan Gross, who has been imprisoned for five years in…",5696,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 14:45,1418809508,-0.980000019,n
Hearing rumors from DC that the Administration will be rolling back parts of the embargo with Cuba. sayfie FloridaPol,722,Polygon,"-87.634643, 24.396308; -87.634643, 31.001056; -79.974307, 31.001056; -79.974307, 24.396308",Florida,US,12/17/2014 14:45,1418809542,1,p
"So, kind of big news day? “BREAKING: US officials: US to start talks with Cuba to normalize full diplomatic relations, op",1059,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 14:45,1418809548,0.350000024,p
"Release by Cuba of Gross great news;however,it sets a terrible US policy precedent. Americans overseas are not safer today.",952,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:46,1418809608,0.50999999,p
Wow on Cuba really amazing - was there in Feb and sense of change hangs in the air,838,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:47,1418809633,0.842800021,p
"Gross release by Cuba great news;however,it sets a terrible US policy precedent. Americans overseas are not safer today.",952,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:47,1418809653,0.50999999,p
I am hopeful that and Raul Castro's simultaneous announcements will mean a step forward for American/Cuban rela,273,Polygon,"-105.3017759, 39.953552; -105.3017759, 40.094411; -105.183597, 40.094411; -105.183597, 39.953552",Boulder,CO,12/17/2014 14:47,1418809655,0.529999971,p
"Cuba releases American Alan Gross in prisoner swap: U.S. contractor Alan Gross, held by the Cuban government since…",2486,Polygon,"-105.109815, 39.614151; -105.109815, 39.812975; -104.734372, 39.812975; -104.734372, 39.614151",Denver,CO,12/17/2014 14:50,1418809816,-1.271999955,n
AP sources: American Alan Gross released from Cuba after 5 years in prison: American Alan Gross has been released…,1163,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 14:51,1418809884,-0.899999976,n
"Good question,let me guess,once Time mentiond tht Cuba's edu system is better than US,could it Bthe cause? RW",1768,Polygon,"-81.507905, 28.3882177; -81.507905, 28.615139; -81.2276403, 28.615139; -81.2276403, 28.3882177",Orlando,FL,12/17/2014 14:51,1418809916,0.300000012,p
"Cuban embargo was established in 1960!! There are people, both in the U.S. and Cuba, who were not even born when the embargo w",273,Polygon,"-105.3017759, 39.953552; -105.3017759, 40.094411; -105.183597, 40.094411; -105.183597, 39.953552",Boulder,CO,12/17/2014 14:52,1418809940,-1,n
"Billy I love your work. But, please don't say Obama is trying to free Cuba. Unless the Military is being scrambl",512,Polygon,"-80.3563536, 25.806057; -80.3563536, 25.9094066; -80.252971, 25.9094066; -80.252971, 25.806057",Hialeah,FL,12/17/2014 14:54,1418810063,1.200000048,p
AP sources: Surprise move by Cuba could pave way to better ties with US (from diplomacy,1010,Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075",San Francisco,CA,12/17/2014 14:54,1418810085,0.300000012,p
American Alan Gross is released from Cuba after 5 years of prison. ThanksObama,791,Polygon,"-97.966318, 38.02387; -97.966318, 38.108414; -97.849296, 38.108414; -97.849296, 38.02387",Hutchinson,KS,12/17/2014 14:56,1418810161,-0.49000001,n
“Per CNBC: US to lift money transfer and travel restrictions from Cuba. Embargo officially over.”,868,Polygon,"-82.369079, 27.755502; -82.369079, 27.899232; -82.2443655, 27.899232; -82.2443655, 27.755502",Riverview,FL,12/17/2014 14:56,1418810175,0.399999976,p
A. Navarro defended the continued ban on US travel to Cuba by highlighting how easy it is to just go there illegally. Int,509,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811",Philadelphia,PA,12/17/2014 14:56,1418810176,-0.088386759,n
.&lt;&lt; not happy. says she will never ever go back to Cuba. Who cares. There is more to Cuba than her ass.,3775,Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178",Southfield,MI,12/17/2014 14:57,1418810223,-0.400000006,n
Absolutely incredible news with US/Cuba relations today. Presidents &amp; Raul Castro to address their nations a,1248,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811",Philadelphia,PA,12/17/2014 14:57,1418810279,1.455000043,p
"I imagine Cuba and Puerto Rico solar, wind &amp; water powered Islandsofinnovation.Legacy",706,Polygon,"-73.039115, 40.837693; -73.039115, 40.921065; -72.972416, 40.921065; -72.972416, 40.837693",Coram,NY,12/17/2014 14:58,1418810284,0.49000001,p
I care that Cuba is a human rights nightmare and Ostupid is giving that asshole the time of day.,1652,Polygon,"-87.634643, 24.396308; -87.634643, 31.001056; -79.974307, 31.001056; -79.974307, 24.396308",Florida,US,12/17/2014 14:58,1418810290,-0.75,n
"People making huge deal abt political risk of normalizing ties w/Cuba, but that ignores how much SFla Cuban community has chan",1176,Polygon,"-84.5129821, 33.5933183; -84.5129821, 33.669237; -84.427795, 33.669237; -84.427795, 33.5933183",College Park,GA,12/17/2014 14:59,1418810382,-0.600000024,n
Obama to announce updates on US diplomatic relationship with Cuba in the wake of the AlanGross release noon EST,13,Polygon,"-74.915881, 40.617059; -74.915881, 40.682056; -74.866246, 40.682056; -74.866246, 40.617059",High Bridge,NJ,12/17/2014 15:00,1418810418,0.674999937,p
US to re-establish relations w Cuba . Whaaaaaaaattttttt? Thank you Jay Z and Beyonce!,15,Polygon,"-74.211974, 40.76822; -74.211974, 40.848801; -74.1625818, 40.848801; -74.1625818, 40.76822",Bloomfield,NJ,12/17/2014 15:00,1418810449,0.449999988,p
According to the U.S. and Cuba are entering discussions to reopen the embassy in Havana. This is a huge day in US,335,Polygon,"-81.494466, 41.208066; -81.494466, 41.277286; -81.380598, 41.277286; -81.380598, 41.208066",Hudson,OH,12/17/2014 15:01,1418810463,0.400000006,p
"At noon today Obama will announce ""major changes"" to US-Cuba policy. My bags are already packed.",509,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811",Philadelphia,PA,12/17/2014 15:01,1418810488,0.730666697,p
OBAMA shows his true Socialist colors...normalizing relationships with Cuba...I guess he wants to get a classic car..,2022,Polygon,"-88.446362, 32.2845933; -88.446362, 41.744901; -84.296982, 41.744901; -84.296982, 32.2845933",Montgomery,AL,12/17/2014 15:02,1418810542,0.235585496,p
USA and Cuba swap prisoners AlanGross for Cubanfive GerardoHernandez AntonioGuerrero and RamonLabanino,1996,Polygon,"-81.279617, 29.424649; -81.279617, 29.627243; -81.158741, 29.627243; -81.158741, 29.424649",Palm Coast,FL,12/17/2014 15:03,1418810608,-0.735000014,n
This is one White House call with real news !!! Cuba,839,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 15:04,1418810648,0.269822001,p
"Wonderful to hear all of the news about U.S. and Cuba. I had the privilege of visiting Havana in 2003 -- amazing people, beaut",2368,Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962",San Diego,CA,12/17/2014 15:04,1418810675,0.624166489,p
"AP sources: US, Cuba seek to normalize diplomatic relations as part of prisoner release deal:  ",1119,Polygon,"-78.832497, 42.948903; -78.832497, 43.06933; -78.696766, 43.06933; -78.696766, 42.948903",Amherst,NY,12/17/2014 15:04,1418810675,-1.200000048,n
The US embargo against Cuba should have ended long ago. Let's make it happen.,88,Polygon,"-87.940033, 41.644102; -87.940033, 42.0230669; -87.523993, 42.0230669; -87.523993, 41.644102",Chicago,IL,12/17/2014 15:05,1418810725,1,p
