last_name,first_name,party,birthday,gender,type,state,govtrack_id,position
Cartwright,Matthew,Democrat,5/1/1961,M,rep,PA,412571,f
O'Rourke,Beto,Democrat,9/26/1972,M,rep,TX,412575,f
Castro,Joaquin,Democrat,9/16/1974,M,rep,TX,412576,f
Veasey,Marc,Democrat,1/3/1971,M,rep,TX,412579,f
Vela,Filemon,Democrat,2/13/1963,M,rep,TX,412580,f
Kaine,Timothy,Democrat,2/26/1958,M,sen,VA,412582,f
Kilmer,Derek,Democrat,1/1/1974,M,rep,WA,412583,f
Heck,Denny,Democrat,7/29/1952,M,rep,WA,412584,f
Pocan,Mark,Democrat,8/14/1964,M,rep,WI,412585,f
Kelly,Robin,Democrat,4/30/1956,F,rep,IL,412595,f
Booker,Cory,Democrat,4/27/1969,M,sen,NJ,412598,f
Clark,Katherine,Democrat,7/17/1963,F,rep,MA,412600,f
Norcross,Donald,Democrat,12/13/1958,M,rep,NJ,412606,f
Adams,Alma,Democrat,5/27/1946,F,rep,NC,412607,f
Gallego,Ruben,Democrat,11/20/1979,M,rep,AZ,412612,f
DeSaulnier,Mark,Democrat,3/31/1952,M,rep,CA,412613,f
Aguilar,Pete,Democrat,6/19/1979,M,rep,CA,412615,f
Lieu,Ted,Democrat,3/29/1969,M,rep,CA,412616,f
Torres,Norma,Democrat,4/4/1965,F,rep,CA,412617,f
Graham,Gwen,Democrat,1/31/1963,F,rep,FL,412620,f
Takai,Mark,Democrat,7/1/1967,M,rep,HI,412626,f
Moulton,Seth,Democrat,10/24/1978,M,rep,MA,412632,f
Dingell,Debbie,Democrat,11/23/1953,F,rep,MI,412637,f
Lawrence,Brenda,Democrat,10/18/1954,F,rep,MI,412638,f
Ashford,Brad,Democrat,11/10/1949,M,rep,NE,412642,f
Watson Coleman,Bonnie,Democrat,2/6/1945,F,rep,NJ,412644,f
Rice,Kathleen,Democrat,2/15/1965,F,rep,NY,412647,f
Boyle,Brendan,Democrat,2/6/1977,M,rep,PA,412652,f
Beyer,Donald,Democrat,6/20/1950,M,rep,VA,412657,f
Plaskett,Stacey,Democrat,5/13/1966,F,rep,VI,412659,f
Sanders,Bernard,Independent,9/8/1941,M,sen,VT,400357,f
Sablan,Gregorio,Independent,1/19/1955,M,rep,MP,412312,f
King,Angus,Independent,3/31/1944,M,sen,ME,412545,f
Corker,Bob,Republican,8/24/1952,M,sen,TN,412248,f
Hatch,Orrin,Republican,3/22/1934,M,sen,UT,300052,a
Barrasso,John,Republican,7/21/1952,M,sen,WY,412251,a
Wicker,Roger,Republican,7/5/1951,M,sen,MS,400432,a
Alexander,Lamar,Republican,7/3/1940,M,sen,TN,300002,a
Cochran,Thad,Republican,12/7/1937,M,sen,MS,300023,a
Collins,Susan,Republican,12/7/1952,F,sen,ME,300025,f
Cornyn,John,Republican,2/2/1952,M,sen,TX,300027,a
Enzi,Michael,Republican,2/1/1944,M,sen,WY,300041,f
Graham,Lindsey,Republican,7/9/1955,M,sen,SC,300047,a
Inhofe,James,Republican,11/17/1934,M,sen,OK,300055,a
McConnell,Mitch,Republican,2/20/1942,M,sen,KY,300072,a
Risch,James,Republican,5/3/1943,M,sen,ID,412322,a
Roberts,Pat,Republican,4/20/1936,M,sen,KS,300083,f
Sessions,Jefferson,Republican,12/24/1946,M,sen,AL,300088,a
Aderholt,Robert,Republican,7/22/1965,M,rep,AL,400004,a
Amash,Justin,Republican,4/18/1980,M,rep,MI,412438,a
Ayotte,Kelly,Republican,6/27/1968,F,sen,NH,412493,a
Barletta,Lou,Republican,1/28/1956,M,rep,PA,412469,a
Barton,Joe,Republican,9/15/1949,M,rep,TX,400018,a
Benishek,Dan,Republican,4/20/1952,M,rep,MI,412436,a
Bilirakis,Gus,Republican,2/8/1963,M,rep,FL,412250,a
Bishop,Rob,Republican,7/13/1951,M,rep,UT,400029,a
Black,Diane,Republican,1/16/1951,F,rep,TN,412478,a
Blackburn,Marsha,Republican,6/6/1952,F,rep,TN,400032,a
Blunt,Roy,Republican,1/10/1950,M,sen,MO,400034,a
Boehner,John,Republican,11/17/1949,M,rep,OH,400036,a
Boozman,John,Republican,12/10/1950,M,sen,AR,400040,f
Boustany,Charles,Republican,2/21/1956,M,rep,LA,400636,a
Brady,Kevin,Republican,4/11/1955,M,rep,TX,400046,a
Brooks,Mo,Republican,4/29/1954,M,rep,AL,412395,a
Buchanan,Vern,Republican,5/8/1951,M,rep,FL,412196,a
Bucshon,Larry,Republican,5/31/1962,M,rep,IN,412427,a
Burgess,Michael,Republican,12/23/1950,M,rep,TX,400052,a
Burr,Richard,Republican,11/30/1955,M,sen,NC,400054,a
Calvert,Ken,Republican,6/8/1953,M,rep,CA,400057,a
Capito,Shelley,Republican,11/26/1953,F,sen,WV,400061,a
Carter,John,Republican,11/6/1941,M,rep,TX,400068,a
Cassidy,Bill,Republican,9/28/1957,M,sen,LA,412269,a
Chabot,Steve,Republican,1/22/1953,M,rep,OH,400071,a
Chaffetz,Jason,Republican,3/26/1967,M,rep,UT,412270,f
Coats,Daniel,Republican,5/16/1943,M,sen,IN,402675,a
Coffman,Mike,Republican,3/19/1955,M,rep,CO,412271,a
Cole,Tom,Republican,4/28/1949,M,rep,OK,400077,a
Conaway,K.,Republican,6/11/1948,M,rep,TX,400655,a
Crapo,Michael,Republican,5/20/1951,M,sen,ID,300030,a
Crawford,Eric,Republican,1/22/1966,M,rep,AR,412400,a
Crenshaw,Ander,Republican,9/1/1944,M,rep,FL,400086,a
Culberson,John,Republican,8/24/1956,M,rep,TX,400089,a
Denham,Jeff,Republican,7/29/1967,M,rep,CA,412403,a
Dent,Charles,Republican,5/24/1960,M,rep,PA,400648,a
DesJarlais,Scott,Republican,2/21/1964,M,rep,TN,412477,a
Diaz-Balart,Mario,Republican,9/25/1961,M,rep,FL,400108,a
Duffy,Sean,Republican,10/3/1971,M,rep,WI,412488,a
Duncan,Jeff,Republican,1/7/1966,M,rep,SC,412472,a
Duncan,John,Republican,7/21/1947,M,rep,TN,400116,a
Ellmers,Renee,Republican,2/9/1964,F,rep,NC,412457,a
Farenthold,Blake,Republican,12/12/1961,M,rep,TX,412482,a
Fincher,Stephen,Republican,2/7/1973,M,rep,TN,412479,a
Fitzpatrick,Michael,Republican,6/28/1963,M,rep,PA,400646,a
Flake,Jeff,Republican,12/31/1962,M,sen,AZ,400134,f
Fleischmann,Charles,Republican,10/11/1962,M,rep,TN,412476,a
Fleming,John,Republican,7/5/1951,M,rep,LA,412275,a
Flores,Bill,Republican,2/25/1954,M,rep,TX,412480,a
Forbes,J.,Republican,2/17/1952,M,rep,VA,400137,a
Fortenberry,Jeff,Republican,12/27/1960,M,rep,NE,400640,a
Foxx,Virginia,Republican,6/29/1943,F,rep,NC,400643,a
Franks,Trent,Republican,6/19/1957,M,rep,AZ,400141,a
Frelinghuysen,Rodney,Republican,4/29/1946,M,rep,NJ,400142,a
Gardner,Cory,Republican,8/22/1974,M,sen,CO,412406,a
Garrett,Scott,Republican,7/9/1959,M,rep,NJ,400145,a
Gibbs,Bob,Republican,6/14/1954,M,rep,OH,412463,a
Gibson,Christopher,Republican,5/13/1964,M,rep,NY,412453,a
Gohmert,Louie,Republican,8/18/1953,M,rep,TX,400651,a
Goodlatte,Bob,Republican,9/22/1952,M,rep,VA,400154,a
Gosar,Paul,Republican,11/22/1958,M,rep,AZ,412397,a
Gowdy,Trey,Republican,8/22/1964,M,rep,SC,412473,a
Granger,Kay,Republican,1/18/1943,F,rep,TX,400157,a
Grassley,Charles,Republican,9/17/1933,M,sen,IA,300048,a
Graves,Sam,Republican,11/7/1963,M,rep,MO,400158,a
Graves,Tom,Republican,2/3/1970,M,rep,GA,412388,a
Griffith,H.,Republican,3/15/1958,M,rep,VA,412485,a
Guthrie,Brett,Republican,2/18/1964,M,rep,KY,412278,a
Hanna,Richard,Republican,1/25/1951,M,rep,NY,412454,a
Harper,Gregg,Republican,6/1/1956,M,rep,MS,412280,a
Harris,Andy,Republican,1/25/1957,M,rep,MD,412434,a
Hartzler,Vicky,Republican,10/13/1960,F,rep,MO,412444,a
Heck,Joseph,Republican,10/30/1961,M,rep,NV,412446,a
Hensarling,Jeb,Republican,5/29/1957,M,rep,TX,400175,a
Herrera Beutler,Jaime,Republican,11/3/1978,F,rep,WA,412486,a
Hoeven,John,Republican,3/13/1957,M,sen,ND,412494,a
Huelskamp,Tim,Republican,11/11/1968,M,rep,KS,412429,a
Huizenga,Bill,Republican,1/31/1969,M,rep,MI,412437,a
Hultgren,Randy,Republican,3/1/1966,M,rep,IL,412422,a
Hunter,Duncan,Republican,12/7/1976,M,rep,CA,412283,a
Hurt,Robert,Republican,6/16/1969,M,rep,VA,412484,a
Isakson,John,Republican,12/28/1944,M,sen,GA,400194,a
Issa,Darrell,Republican,11/1/1953,M,rep,CA,400196,a
Jenkins,Lynn,Republican,6/10/1963,F,rep,KS,412284,a
Johnson,Bill,Republican,11/10/1954,M,rep,OH,412460,a
Johnson,Ron,Republican,4/8/1955,M,sen,WI,412496,a
Johnson,Sam,Republican,10/11/1930,M,rep,TX,400206,a
Jones,Walter,Republican,2/10/1943,M,rep,NC,400209,a
Jordan,Jim,Republican,2/17/1964,M,rep,OH,412226,a
Kelly,Mike,Republican,5/10/1948,M,rep,PA,412465,a
King,Peter,Republican,4/5/1944,M,rep,NY,400219,a
King,Steve,Republican,5/28/1949,M,rep,IA,400220,a
Kinzinger,Adam,Republican,2/27/1978,M,rep,IL,412421,a
Kirk,Mark,Republican,9/15/1959,M,sen,IL,400222,a
Kline,John,Republican,9/6/1947,M,rep,MN,400224,a
Labrador,Ra̼l,Republican,12/8/1967,M,rep,ID,412419,a
Lamborn,Doug,Republican,5/24/1954,M,rep,CO,412191,a
Lance,Leonard,Republican,6/25/1952,M,rep,NJ,412290,a
Lankford,James,Republican,3/4/1968,M,sen,OK,412464,a
Latta,Robert,Republican,4/18/1956,M,rep,OH,412256,a
Lee,Mike,Republican,6/4/1971,M,sen,UT,412495,a
LoBiondo,Frank,Republican,5/12/1946,M,rep,NJ,400244,a
Long,Billy,Republican,8/11/1955,M,rep,MO,412445,a
Lucas,Frank,Republican,1/6/1960,M,rep,OK,400247,a
Luetkemeyer,Blaine,Republican,5/7/1952,M,rep,MO,412292,a
Lummis,Cynthia,Republican,9/10/1954,F,rep,WY,412294,a
Marchant,Kenny,Republican,2/23/1951,M,rep,TX,400656,a
Marino,Tom,Republican,8/15/1952,M,rep,PA,412468,a
McCain,John,Republican,8/29/1936,M,sen,AZ,300071,a
McCarthy,Kevin,Republican,1/26/1965,M,rep,CA,412190,a
McCaul,Michael,Republican,1/14/1962,M,rep,TX,400654,a
McClintock,Tom,Republican,7/10/1956,M,rep,CA,412295,a
McHenry,Patrick,Republican,10/22/1975,M,rep,NC,400644,a
McKinley,David,Republican,3/28/1947,M,rep,WV,412487,a
McMorris Rodgers,Cathy,Republican,5/22/1969,F,rep,WA,400659,a
Meehan,Patrick,Republican,10/20/1955,M,rep,PA,412466,a
Mica,John,Republican,1/27/1943,M,rep,FL,400273,a
Miller,Candice,Republican,5/7/1954,F,rep,MI,400276,a
Miller,Jeff,Republican,6/27/1959,M,rep,FL,400279,a
Moran,Jerry,Republican,5/29/1954,M,sen,KS,400284,f
Mulvaney,Mick,Republican,7/21/1967,M,rep,SC,412474,a
Murkowski,Lisa,Republican,5/22/1957,F,sen,AK,300075,a
Murphy,Tim,Republican,9/11/1952,M,rep,PA,400285,a
Neugebauer,Randy,Republican,12/24/1949,M,rep,TX,400441,a
Noem,Kristi,Republican,11/30/1971,F,rep,SD,412475,a
Nugent,Richard,Republican,5/26/1951,M,rep,FL,412409,a
Nunes,Devin,Republican,10/1/1973,M,rep,CA,400297,a
Olson,Pete,Republican,12/9/1962,M,rep,TX,412302,a
Palazzo,Steven,Republican,2/21/1970,M,rep,MS,412443,a
Paul,Rand,Republican,1/7/1963,M,sen,KY,412492,f
Paulsen,Erik,Republican,5/14/1965,M,rep,MN,412303,a
Pearce,Stevan,Republican,8/24/1947,M,rep,NM,400313,a
Pitts,Joseph,Republican,10/10/1939,M,rep,PA,400320,a
Poe,Ted,Republican,9/10/1948,M,rep,TX,400652,a
Pompeo,Mike,Republican,12/30/1963,M,rep,KS,412431,a
Portman,Robert,Republican,12/19/1955,M,sen,OH,400325,a
Posey,Bill,Republican,12/18/1947,M,rep,FL,412309,a
Price,Tom,Republican,10/8/1954,M,rep,GA,400626,a
Reed,Tom,Republican,11/18/1971,M,rep,NY,412393,a
Reichert,David,Republican,8/29/1950,M,rep,WA,400660,a
Renacci,James,Republican,12/3/1958,M,rep,OH,412462,a
Ribble,Reid,Republican,4/5/1956,M,rep,WI,412489,a
Rigell,Edward,Republican,5/28/1960,M,rep,VA,412483,a
Roby,Martha,Republican,7/27/1976,F,rep,AL,412394,a
Roe,David,Republican,7/21/1945,M,rep,TN,412310,a
Rogers,Harold,Republican,12/31/1937,M,rep,KY,400340,a
Rogers,Mike,Republican,7/16/1958,M,rep,AL,400341,a
Rohrabacher,Dana,Republican,6/21/1947,M,rep,CA,400343,a
Rokita,Todd,Republican,2/9/1970,M,rep,IN,412426,a
Rooney,Thomas,Republican,11/21/1970,M,rep,FL,412311,a
Ros-Lehtinen,Ileana,Republican,7/15/1952,F,rep,FL,400344,a
Roskam,Peter,Republican,9/13/1961,M,rep,IL,412202,a
Ross,Dennis,Republican,10/18/1959,M,rep,FL,412411,a
Royce,Edward,Republican,10/12/1951,M,rep,CA,400348,a
Rubio,Marco,Republican,5/28/1971,M,sen,FL,412491,a
