last_name,first_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Whitehouse,Sheldon,10/20/1955,M,sen,RI,,Democrat,http://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,http://www.whitehouse.senate.gov/contact,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,1.94E+14,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,gIQA7KHw9O,40704,Sheldon Whitehouse
Barrasso,John,7/21/1952,M,sen,WY,,Republican,http://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,21146775942,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881,N00006236,S317,1024777,412251,52662,John Barrasso,gIQASOzBAP,40707,John Barrasso
Wicker,Roger,7/5/1951,M,sen,MS,,Republican,http://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,http://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226,N00003280,S318,18203,400432,21926,Roger Wicker,gIQAC9ZCAP,29534,Roger Wicker
Alexander,Lamar,7/3/1940,M,sen,TN,,Republican,http://www.alexander.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,SenAlexander,senatorlamaralexander,89927603836,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,1695,N00009888,S289,5,300002,15691,Lamar Alexander,gIQAzZQL9O,40304,Lamar Alexander
Cochran,Thad,12/7/1937,M,sen,MS,,Republican,http://www.cochran.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov/public/index.cfm/rss/feed,SenThadCochran,,,sencochran,UCTnKP_ye7nI5DEn_zreaa3g,C000567,213,N00003328,S136,1200,300023,53312,Thad Cochran,gIQAJk599O,14009,Thad Cochran
Collins,Susan,12/7/1952,F,sen,ME,,Republican,http://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/public/index.cfm/email,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,7593313361,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541,N00000491,S252,45738,300025,379,Susan Collins,gIQAPvDu9O,49703,Susan Collins
Cornyn,John,2/2/1952,M,sen,TX,,Republican,http://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,75755694423,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692,N00024852,S287,93131,300027,15375,John Cornyn,gIQAy80L9O,40305,John Cornyn
Durbin,Richard,11/21/1944,M,sen,IL,,Democrat,http://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,http://www.durbin.senate.gov/public/index.cfm/contact,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,1.80E+14,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326,N00004981,S253,6741,300038,26847,Dick Durbin,gIQArl8V9O,15021,Dick Durbin
Enzi,Michael,2/1/1944,M,sen,WY,,Republican,http://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,SenatorEnzi,mikeenzi,23068049436,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,1542,N00006249,S254,45824,300041,558,Mike Enzi,gIQAAWfCAP,49706,Mike Enzi
Graham,Lindsey,7/9/1955,M,sen,SC,,Republican,http://www.lgraham.senate.gov,290 Russell Senate Office Building Washington DC 20510,202-224-5972,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,2.58E+11,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452,N00009975,S293,36782,300047,21992,Lindsey Graham,gIQAEdOu9O,29566,Lindsey Graham
Inhofe,James,11/17/1934,M,sen,OK,,Republican,http://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,http://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,InhofePress,jiminhofe,55018309421,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583,N00005582,S236,5619,300055,27027,Jim Inhofe,gIQASu669O,15424,Jim Inhofe
McConnell,Mitch,2/20/1942,M,sen,KY,,Republican,http://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,,M000355,1395,N00003389,S174,2351,300072,53298,Mitch McConnell,gIQAYR2b9O,14921,Mitch McConnell
Merkley,Jeff,10/24/1956,M,sen,OR,,Democrat,http://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,74374931545,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900,N00029303,S322,1029842,412325,23644,Jeff Merkley,gIQAosnb9O,40908,Jeff Merkley
Reed,John,11/12/1949,M,sen,RI,,Democrat,http://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,http://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,2.14E+14,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949,N00000362,S259,24239,300081,27060,Jack Reed,gIQAT2gt9O,29142,Jack Reed (politician)
Risch,James,5/3/1943,M,sen,ID,,Republican,http://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896,N00029441,S323,1020034,412322,2919,Jim Risch,gIQAWIdW9O,40902,Jim Risch
Roberts,Pat,4/20/1936,M,sen,KS,,Republican,http://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,SenPatRoberts,SenPatRoberts,2.06E+14,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,968,N00005285,S260,16354,300083,26866,Pat Roberts,gIQAUECAAP,14852,Pat Roberts
Sessions,Jefferson,12/24/1946,M,sen,AL,,Republican,http://www.sessions.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorSessions,jeffsessions,23444159584,SenatorSessions,UCd5Nv9gL89TCR03kD2SfaIQ,S001141,1548,N00003062,S261,44441,300088,443,Jeff Sessions,gIQAHXOBAP,49700,Jeff Sessions
Shaheen,Jeanne,1/28/1947,F,sen,NH,,Democrat,http://www.shaheen.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-2841,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,1.28E+14,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,gIQAZP1b9O,40906,Jeanne Shaheen
Udall,Tom,5/18/1948,M,sen,NM,,Democrat,http://www.tomudall.senate.gov,110 Hart Senate Office Building Washington DC 20510,202-224-6621,http://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,SenatorTomUdall,senatortomudall,1.06E+11,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,1567,N00006561,S326,10075,400413,22658,Tom Udall,gIQAv2eM9O,29924,Tom Udall
Warner,Mark,12/15/1954,M,sen,VA,,Democrat,http://www.warner.senate.gov,475 Russell Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,7935122852,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897,N00002097,S327,7630,412321,535,Mark Warner,gIQAUqPM9O,40909,Mark Warner
Gillibrand,Kirsten,12/9/1966,F,sen,NY,,Democrat,http://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,http://www.gillibrand.senate.gov/contact/,http://www.gillibrand.senate.gov/rss/,,,,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,gIQAz4Kt9O,20735,Kirsten Gillibrand
Franken,Alan,5/21/1951,M,sen,MN,,Democrat,http://www.franken.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-5641,http://www.franken.senate.gov/?p=email_al,http://franken.senate.gov/rss/?p=hot_topic,,,,SenatorFranken,UCMFNp5ybWmz6IlSXmPacTOw,F000457,1969,N00029016,S332,23334,412378,108924,Al Franken,gIQAnCqo9O,40904,Al Franken
Coons,Chris,9/9/1963,M,sen,DE,,Democrat,http://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,http://www.coons.senate.gov/contact/,http://www.coons.senate.gov/rss/feeds/?type=all,SenCoonsOffice,senatorchriscoons,2.55E+14,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984,N00031820,S337,9269028,412390,122834,Chris Coons,gIQAaKfTKP,40916,Chris Coons
Manchin,Joe,8/24/1947,M,sen,WV,,Democrat,http://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,1.02E+16,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983,N00032838,S338,62864,412391,7547,Joe Manchin III,gIQA82bVBP,40915,Joe Manchin
Aderholt,Robert,7/22/1965,M,rep,AL,4,Republican,http://aderholt.house.gov,235 Cannon HOB; Washington DC 20515-0104,202-225-4876,http://aderholt.house.gov/email-me2/,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,19787529402,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,1460,N00003028,,45516,400004,441,Robert B. Aderholt,gIQAw6QSAP,29701,Robert Aderholt
Amash,Justin,4/18/1980,M,rep,MI,3,Republican,http://amash.house.gov,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,https://amash.house.gov/contact-me/email-me,http://amash.house.gov/rss.xml,,repjustinamash,1.74E+14,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,2029,N00031938,,1033767,412438,105566,Justin Amash,gIQAMkzZKP,21143,Justin Amash
Ayotte,Kelly,6/27/1968,F,sen,NH,,Republican,http://www.ayotte.senate.gov,144 Russell Senate Office Building Washington DC 20510,202-224-3324,http://www.ayotte.senate.gov/?p=contact,http://ayotte.senate.gov/rss/?p=news,,kellyayottenh,1.23E+14,SenatorAyotte,UCe_jD6bQuBwAo4CxwUm_ztw,A000368,2075,N00030980,S340,95241,412493,42352,Kelly A. Ayotte,gIQA6LfTKP,41106,Kelly Ayotte
Baldwin,Tammy,2/11/1962,F,sen,WI,,Democrat,http://www.baldwin.senate.gov,717 Hart Washington DC 20510,202-224-5653,http://www.baldwin.senate.gov/contact,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,TammyBaldwin,7357041101,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558,N00004367,S354,57884,400013,3470,Tammy Baldwin,gIQAgHwPAP,29940,Tammy Baldwin
Barletta,Lou,1/28/1956,M,rep,PA,11,Republican,http://barletta.house.gov,115 Cannon HOB; Washington DC 20515-3811,202-225-6511,https://barletta.house.gov/contact/email-me,http://barletta.house.gov/common/rss//index.cfm?rss=25,RepLouBarletta,CongressmanLouBarletta,1.92E+14,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,B001269,2054,N00025495,,29618,412469,47143,Lou Barletta,gIQA3fVUKP,21171,Lou Barletta
Barton,Joe,9/15/1949,M,rep,TX,6,Republican,http://joebarton.house.gov,2107 Rayburn HOB; Washington DC 20515-4306,202-225-2002,https://joebarton.house.gov/contact1/,http://joebarton.house.gov/index.php?format=feed&amp;type=rss,RepJoeBarton,RepJoeBarton,15617630596,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,B000213,62,N00005656,,5248,400018,27082,,gIQAhoxEAP,15085,Joe Barton
Bass,Karen,10/3/1953,F,rep,CA,37,Democrat,http://bass.house.gov,408 Cannon HOB; Washington DC 20515-0537,202-225-7084,https://bass.house.gov/contact-me/email-me,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,1.91E+14,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,1996,N00031877,,62502,412404,28963,,gIQA45LZKP,21110,Karen Bass
Becerra,Xavier,1/26/1958,M,rep,CA,34,Democrat,http://becerra.house.gov,1226 Longworth HOB; Washington DC 20515-0534,202-225-6235,http://becerraforms.house.gov/forms/writeyourrep/,http://becerra.house.gov/index.php?format=feed&amp;type=rss,RepBecerra,XavierBecerra,90311772229,XavierBecerra,UCoY0rJzkgkl1TmoKTUKTI6w,B000287,70,N00009774,,26567,400021,26754,Xavier Becerra,gIQAenAR9O,29316,Xavier Becerra
Benishek,Dan,4/20/1952,M,rep,MI,1,Republican,http://benishek.house.gov,514 Cannon HOB; Washington DC 20515-2201,202-225-4735,https://benishek.house.gov/contact-me/email-me,http://benishek.house.gov/rss.xml,CongressmanDan,CongressmanDan,1.24E+14,,,B001271,2027,N00031934,,61860,412436,123056,Dan Benishek,gIQAOvErKP,21141,Dan Benishek
Bennet,Michael,11/28/1964,M,sen,CO,,Democrat,http://www.bennet.senate.gov,458 Russell Senate Office Building Washington DC 20510,202-224-5852,http://www.bennet.senate.gov/contact/email,http://www.bennet.senate.gov/rss/feeds/?type=news,SenBennetCo,senatorbennet,97172997732,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965,N00030608,S330,1031622,412330,110942,Michael Bennet,gIQA8vao9O,40910,Michael Bennet
Bilirakis,Gus,2/8/1963,M,rep,FL,12,Republican,http://bilirakis.house.gov,2112 Rayburn HOB; Washington DC 20515-0912,202-225-5755,https://bilirakis.house.gov/email-congressman-bilirakis/,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,1.35E+14,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,1838,N00027462,,1022873,412250,17318,Gus M. Bilirakis,gIQAjtHPAP,20758,Gus Bilirakis
Bishop,Rob,7/13/1951,M,rep,UT,1,Republican,http://robbishop.house.gov,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,https://robbishop.house.gov/contact/contactform.htm,http://robbishop.house.gov/news/rss.aspx,RepRobBishop,RepRobBishop,,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,1753,N00025292,,1003621,400029,50544,Rob Bishop,gIQALHQPAP,20357,Rob Bishop
Bishop,Sanford,2/4/1947,M,rep,GA,2,Democrat,http://bishop.house.gov,2407 Rayburn HOB; Washington DC 20515-1002,202-225-3631,http://bishop.house.gov/contact,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,3.67E+11,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,91,N00002674,,26194,400030,26817,,gIQATrCOAP,29339,Sanford Bishop
Black,Diane,1/16/1951,F,rep,TN,6,Republican,http://black.house.gov,1131 Longworth HOB; Washington DC 20515-4206,202-225-4231,https://black.house.gov/contact-me/email-me,http://black.house.gov/rss.xml,RepDianeBlack,DianeBlackTN06,1.86E+14,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,B001273,2063,N00031539,,9268964,412478,25292,,gIQAtZuYKP,21180,Diane Black
Blackburn,Marsha,6/6/1952,F,rep,TN,7,Republican,http://blackburn.house.gov,2266 Rayburn HOB; Washington DC 20515-4207,202-225-2811,https://blackburn.house.gov/contactform/email.htm,http://blackburn.house.gov/news/rss.aspx,MarshaBlackburn,marshablackburn,6470828395,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,1748,N00003105,,31226,400032,25186,Marsha Blackburn,gIQALZuKAP,20351,Marsha Blackburn
Blumenauer,Earl,8/16/1948,M,rep,OR,3,Democrat,http://blumenauer.house.gov,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,99,N00007727,,43809,400033,367,Earl Blumenauer,gIQAqvaOAP,29588,Earl Blumenauer
Blumenthal,Richard,2/13/1946,M,sen,CT,,Democrat,http://www.blumenthal.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,2.90E+14,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076,N00031685,S341,21799,412490,1568,Richard Blumenthal,gIQAeNwz6O,41101,Richard Blumenthal
Blunt,Roy,1/10/1950,M,sen,MO,,Republican,http://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,RoyBlunt,SenatorBlunt,1.42E+14,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464,N00005195,S342,45465,400034,418,Roy Blunt,gIQAUcQL9O,29735,Roy Blunt
Boehner,John,11/17/1949,M,rep,OH,8,Republican,http://johnboehner.house.gov,1011 Longworth HOB; Washington DC 20515-3508,202-225-6205,http://boehner.house.gov/contact/,http://boehner.house.gov/news/rss.aspx,SpeakerBoehner,SpeakerJohnBoehner,1.75E+14,johnboehner,UC-cxqz-2fBOekclLlaERLJQ,B000589,102,N00003675,,16740,400036,27015,John A. Boehner,gIQAzRvL9O,29137,John Boehner
Boozman,John,12/10/1950,M,sen,AR,,Republican,http://www.boozman.senate.gov,320 Hart Senate Office Building Washington DC 20510,202-224-4843,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,7686715735,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687,N00013873,S343,92069,400040,27958,John Boozman,gIQAxKQPAP,20101,John Boozman
Bordallo,Madeleine,5/31/1933,F,rep,GU,0,Democrat,http://bordallo.house.gov,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,https://bordallo.house.gov/contact-me,http://bordallo.house.gov/rss.xml,,madeleine.bordallo,1.62E+14,,,B001245,1723,N00024866,,1003568,400041,1751,,,,Madeleine Bordallo
